objectid,filename,title,format,description,creator,date,date-is-approximate?,item_information,subject,location,latitude,longitude,source,findingaid,identifier,rights,rightsstatement,type,language,relation
langmann002,ul_1624_03_0092.jpg,[Steamer] Leaving Vancouver,image/jpeg,View of the Princess Charlotte leaving Vancouver for Victoria.,"Barrowclough, George Alfred",1900s,yes,single-page; photographs,Ships; Travel,"Vancouver, B.C.",49.2827,-123.121,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs. UL_1624_03_0092,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1624_03_0092,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0361230
langmann004,ul_1635_0026.jpg,Ocean Falls Paper Mill,image/jpeg,View of the pulp and paper mill,[unknown],1920s,yes,single-page; photographs,Forestry; Industry,"Ocean Falls, B.C.",52.354,-127.694,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs. UL_1635_0026,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1635_0026,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0371385
langmann005,ul_1624_03_0338.jpg,"Commercial Centre, Vancouver",image/jpeg,Aeriel view of factories and other buildings in downtown Vancouver.,Rosetti Studios,1910s,yes,single-page; photographs,Business & Finance; Buildings; Cities & Towns,"Vancouver, B.C.",49.2827,-123.121,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs. UL_1624_03_0338,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1624_03_0338,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0361425
langmann006,ul_1624_02_0307.jpg,North Vancouver Ferry,image/jpeg,"View of the St. George, North Vancouver ferry No. 2. Written on photograph: No. 47.",[unknown],1904,yes,single-page; photographs,Boats; Bodies of water; Piers & Wharves,"North Vancouver, B.C.",49.32,-123.072,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs. UL_1624_02_0307,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1624_02_0307,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0360878
langmann007,ul_1638_0013.jpg,Nanaimo from the harbor str. Joan starting on her daily run,image/jpeg,"View of a steamer leaving Nanaimo, spewing smoke. The town can be seen in the background.","King, Howard H.",1910,yes,single-page; photographs,Cities & Towns; Ships; Travel,"Nanaimo, B.C.",49.1659,-123.94,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs. UL_1638_0013,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1638_0013,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0361872
langmann008,ul_1639_0035.jpg,BC Spruce Mills,image/jpeg,View of logs coming down the river.,[unknown],1920s,yes,single-page; photographs,Forestry; Bodies of Water,"Lumberton, B.C.",49.4242,-115.88,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1639_0035,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0371393
langmann009,ul_1633_0034.jpg,Largest Recorded Tree,image/jpeg,Depicts a man's head peeping out beneath the preliminary cut in a large cedar about to be felled,[unknown],1896,yes,single-page; photographs,Forestry; Logging,"North Vancouver, B.C.",49.32,-123.072,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs. UL_1633_0034,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1633_0034,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0361731
langmann010,ul_1639_0012_03.jpg,[View of cut logs],image/jpeg,View of piles of cut logs. A man can be seen standing on top of a small pile in the bottom right side of the postcard. Postcard is from a set of 4 postcards with logging imagery.,[unknown],1920s,yes,single-page; photographs,Forestry; Logging,British Columbia,53.7267,-127.648,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1639_0012_03,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0371285
langmann013,ul_1633_0066.jpg,Unloading logs Chemainus,image/jpeg,View of logs being dropped from a logging train into the water next to a boom,"Elliott, Albert Thomas",1906,yes,single-page; photographs,Forestry; Logging; Railroads; Bridges,"Chemainus, B.C.",48.9302,-123.735,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs. UL_1633_0066,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1633_0066,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0361719
langmann014,ul_1624_03_0227.jpg,Vancouver looking SE,image/jpeg,View of buildings being constructed in downtown Vancouver.,Bullen-Broadbridge Photo,1905,yes,single-page; photographs,Cities & Towns; Ships; Travel; Buildings,"Vancouver, B.C.",49.2827,-123.121,Original Format: University of British Columbia. Library. Rare Books and Special Collections. Uno Langmann Family Collection of B.C. Photographs. UL_1624_03_0227,https://rbscarchives.library.ubc.ca/index.php/uno-langmann-family-collection-of-b-c-photographs-2,UL_1624_03_0227,"Image provided for research and reference use only. Permission to publish, copy, or otherwise use these images must be obtained from Rare Books and Special Collections",http://rightsstatements.org/vocab/InC/1.0/,Image; StillImage,en,https://dx.doi.org/10.14288/1.0361299
